BSM_BUSSTO,BSM_CHINES,geometry
942,臨江園,POINT (121.488932090531 25.1018010710541)
5059,大同街口,POINT (121.499580741834 25.1387189999449)
1000964,士林監理站,POINT (121.514251313743 25.0931884749378)
936,擎天崗,POINT (121.5738147983 25.1670481874264)
2074,玄覺寺,POINT (121.561662 25.023046)
4818,老人自費安養�,POINT (121.561985 24.986706)
9479,平等國小,POINT (121.57661343093 25.1297745904416)
1000096,華江派出所,POINT (121.493016 25.034006)
394,清天宮,POINT (121.500823 25.159885)
1290,長安國小(吉林),POINT (121.529848058072 25.0493448268277)
7225,洲美里,POINT (121.500339227612 25.1028950519769)
9463,前半嶺,POINT (121.56823703439 25.11695642825)
1774,長沙街,POINT (121.505642361914 25.0405864676727)
1000862,行仁里,POINT (121.54100547487 25.065783120932)
16266,中山區公所,POINT (121.533564310727 25.0649304450739)
2487,溪口國小,POINT (121.538847719467 24.9936880931274)
1001045,衛生福利部,POINT (121.596034 25.050778)
1817,萬華醫院,POINT (121.5097962103 25.0237504811006)
1001443,精技大樓,POINT (121.582452174356 25.0642686113719)
82,陽明書屋,POINT (121.544836 25.163093)
7210,新北投,POINT (121.504158979648 25.1376964610609)
20240,振興街,POINT (121.521957 25.118587)
14673,捷運芝山站(福�,POINT (121.522741 25.101765)
944,聯勤陽明山招�,POINT (121.549304962165 25.1481084948664)
1760,和德里,POINT (121.49068793122 25.024898350655)
688,光興宮,POINT (121.55992 25.12022)
1884,臺北車站(公園),POINT (121.516907 25.044148)
1000567,天壽里,POINT (121.525984 25.117695)
213,奇岩新村,POINT (121.50816 25.125899)
4710,德行忠誠路口,POINT (121.52972 25.1082539636723)
9485,沙崙,POINT (121.56668 25.11377)
20369,捷運奇岩站(北�,POINT (121.50103768966 25.1256292298867)
4879,麥田紫藤,POINT (121.550946 24.9955203103398)
14410,陳厝,POINT (121.57406 25.13507)
1001479,萬福國小,POINT (121.536088199783 25.0048734859392)
1001453,菁山里(一),POINT (121.564211 25.143649)
911,台北海大,POINT (121.470877960909 25.108187537215)
1001350,洲美里,POINT (121.500054 25.102895)
1001387,政大二街,POINT (121.584582172517 24.9862023546436)
14674,天山里,POINT (121.533523 25.119871)
704,妙法寺,POINT (121.58701583069 25.122832714586)
6686,衡陽路口,POINT (121.513146505351 25.042686184445)
873,新安路六,POINT (121.555073 25.129286)
6022,龍門國中(建國),POINT (121.538152914597 25.0264113899882)
50423,捷運內湖站(內�,POINT (121.593177 25.084374)
14619,福德廟(石牌),POINT (121.525496 25.123541)
1000391,關渡路口,POINT (121.46937105159 25.122650724291)
9474,大坪尾,POINT (121.572539846342 25.1229258797406)
1102,堤頂大道口,POINT (121.563072801633 25.0768134176345)
592,小油坑服務站,POINT (121.547521 25.176902)
1753,西門市場(漢中),POINT (121.5074360344 25.0419839283907)
1918,自來水博物館(�,POINT (121.530694390793 25.0140767701133)
2003,景福門,POINT (121.51751 25.03787)
55009,岩山里一,POINT (121.53702433513 25.1035131480372)
1268,明水路三,POINT (121.549309181876 25.0774018318214)
50094,舊莊公園,POINT (121.620662 25.041123)
2012,平菁街93巷,POINT (121.57844 25.137796)
20300,十八份,POINT (121.523106 25.150479)
4622,果菜市場,POINT (121.497706 25.01987)
1011,瑞陽三號公園,POINT (121.58175 25.074753)
1001085,錦州街口,POINT (121.530233 25.061044)
1963,重慶南路一段,POINT (121.513166 25.044468)
14675,東和公園,POINT (121.533227 25.121666)
833,童軍站,POINT (121.546842290234 25.158354628352)
461,源之鄉,POINT (121.50781 25.14134)
1000812,下塔悠,POINT (121.55648848808 25.072403549752)
1916,自來水西分處(�,POINT (121.5157 25.029828)
712,岩山里一,POINT (121.536929590867 25.1033403973352)
20404,紫陽,POINT (121.58479 25.07507)
328,荒山劇場,POINT (121.473307569719 25.1396868371512)
996,新湖行善路口,POINT (121.585283 25.064815)
1296,長春國小,POINT (121.537138 25.05272)
2031,土地銀行,POINT (121.575429353041 25.0379961137659)
50093,舊莊站,POINT (121.623378808109 25.0392191053102)
20333,下七股(花藝村�,POINT (121.573679 25.184047)
227,立法院,POINT (121.519461 25.043292)
4163,黎安里,POINT (121.564905 25.012278)
775,倫仔尾,POINT (121.573257804229 25.1307668306429)
1000803,飛航服務總台,POINT (121.551486 25.072106)
14694,研創中心,POINT (121.57527849989 24.979688201987)
327,草湳,POINT (121.605405 24.970358)
163,地熱谷,POINT (121.510302 25.136668)
2398,指南國小,POINT (121.58363368966 24.9763026206797)
5999,南京西路口(鈕�,POINT (121.511797370504 25.0544278399852)
1001386,望遠亭(老泉里),POINT (121.578847360921 24.9701424915146)
4811,石潭成功路口,POINT (121.589563964562 25.0633274669682)
1736,市民光復路口,POINT (121.557823 25.044387)
395,清江里,POINT (121.50117 25.12874)
9495,大坪尾一,POINT (121.573657 25.122375)
20346,興雅國中,POINT (121.574722204456 25.0352274913138)
456,新北投,POINT (121.502937 25.137791)
1000790,合誠宮,POINT (121.57431 25.130936)
1001461,陽明公園後門,POINT (121.53593 25.16028)
626,公館里,POINT (121.56444 25.12654)
1903,臺北商大(濟南),POINT (121.524811 25.042011)
1139,精技大樓,POINT (121.582372979512 25.0643798490559)
50422,安泰里,POINT (121.61747 25.073926)
2175,黎雙公園,POINT (121.56062 25.02437)
868,新安里西站,POINT (121.554435204567 25.1312628786533)
2439,救千宮,POINT (121.568613 24.972909)
2105,松壽路口,POINT (121.567407790567 25.0357841121602)
1688,軍人公墓(正門),POINT (121.612202238446 25.0333293657567)
1001339,景華街一,POINT (121.546880229887 24.9955843103398)
285,春天酒店,POINT (121.513898 25.137551)
7215,行義路,POINT (121.52812 25.13051)
4814,潭美國小(行善),POINT (121.582062 25.060371)
1451,迪化街,POINT (121.511244787838 25.0568979913313)
828,富洲里八段,POINT (121.484417887266 25.1055258870878)
1001295,新民國中,POINT (121.507572 25.139399)
359,捷運北投站(育�,POINT (121.498722157031 25.1325549695234)
4065,捷運萬芳醫院�,POINT (121.556957 24.999864)
1034,行善宮,POINT (121.57681810681 25.0531230182155)
4974,安湖站,POINT (121.615619 25.072024)
60148,新安路一,POINT (121.55368 25.11927)
2416,政大學苑,POINT (121.583528256631 24.9852588957558)
4899,捷運南港軟體�,POINT (121.616103 25.059729)
4045,承德橋站,POINT (121.52011268197 25.0760924385264)
4821,行善石潭路口,POINT (121.585553 25.064213)
14423,陽明山中國大�,POINT (121.549277908967 25.1430449472886)
1361,新生公園,POINT (121.528583 25.068237)
6717,建國中學(歷史�,POINT (121.512879 25.031565)
50440,蘆洲里,POINT (121.597272295151 25.0622630929569)
14418,山仔后,POINT (121.547142818405 25.138062525622)
8611,內湖派出所一,POINT (121.59045374619 25.0814546956568)
20295,樂業街,POINT (121.55322082209 25.019768782547)
1000414,頂半嶺,POINT (121.53944599039 25.1439164428142)
869,新安路一,POINT (121.553563786746 25.1192832162271)
4727,臨時站四,POINT (121.621696656061 25.0310509558543)
1821,漢口街,POINT (121.51250484662 25.045145718632)
16251,大稻埕碼頭,POINT (121.50794870316 25.0567479019514)
1824,聚福宮,POINT (121.496096815794 25.0266091161719)
1878,臺北市立大學,POINT (121.513702932831 25.0353887678577)
1001485,市立圖書館(景�,POINT (121.535568431087 25.0030123288248)
291,洲美運動公園,POINT (121.499188379607 25.107864)
702,冷水坑(往擎天�,POINT (121.563098304592 25.1674940929945)
14624,榮總,POINT (121.518023274797 25.1185969578661)
